artists,x0,x1,play_count
Andrew Rowan Summers,3.955693,8.130169,13
Andrew W.K.,11.292567,13.371008,5
András Schiff Johann Sebastian Bach,-1.2604316,12.620535,7
András Schiff Wolfgang Amadeus Mozart,-1.1510081,12.620237,24
André Baugé,5.221478,7.7829084,3
André Breton André Parinaud,5.327001,3.1786835,3
André Collard Darius Milhaud Irma Kolassi,3.100417,8.41987,3
André Collard Gabriel Fauré Irma Kolassi,3.0569715,8.692707,3
André Gide Arthur Rubinstein Jean Amrouche,5.367375,3.2316077,7
André Gide Jean Amrouche,5.377819,3.273709,14
André Parinaud Colette Robert Casadessus,5.399021,3.2485013,12
André Parinaud Jean Cocteau,5.36727,3.206866,6
André Popp,3.204151,11.754917,3
André Previn,0.8521784,12.160716,24
André Previn André Previn Trio Doris Day,3.8011947,8.648469,7
André Previn Isaac Stern Peter Maxwell Davies Royal Philharmonic Orchestra,-2.021605,11.329555,3
André Previn Jacques Ibert London Symphony Orchestra,0.036100324,10.141704,3
André Previn London Symphony Orchestra Pyotr Ilyich Tchaikovsky,-0.96121186,11.136199,40
André Previn London Symphony Orchestra William Walton Yo-Yo Ma,-2.31943,11.696177,3
André Previn MGM Studio Orchestra,0.5078101,11.561125,24
André Rieu Johann Strauss Orchestra,-0.9421452,10.172372,3
Andrés Calamaro,11.470401,10.236123,4
Andrés Segovia Enrique Granados,-0.39353943,12.540217,4
Andrés Segovia Federico Moreno Torroba,-0.23830648,12.836153,9
Andrés Segovia Fernando Sor,-0.7586213,12.6645155,8
Andrés Segovia Francisco Tárrega,-0.6195808,12.681101,7
Andrés Segovia Heitor Villa-Lobos,-0.41203105,12.149428,3
Andrés Segovia Henry Purcell,-0.029235289,12.792146,6
Andrés Segovia Isaac Albéniz,-0.38932988,12.548038,7
Andrés Segovia Jean-Philippe Rameau,0.27783263,12.842826,4
Andrés Segovia Johann Jakob Froberger,0.2684508,12.854987,3
Andrés Segovia Johann Sebastian Bach,0.50858253,12.841937,37
Andrés Segovia Manuel Ponce,-0.64800096,12.753286,16
Andrés Segovia Mario Castelnuovo-Tedesco,-1.1688384,12.644679,5
Andrés Segovia Robert de Visée,-0.2455844,12.818588,15
Andy Gibb,10.448485,8.309692,11
Andy Grammer,10.668834,10.665842,13
Andy Griffith,7.5048623,6.64069,9
Andy Griggs,8.609061,11.421504,4
Andy Johns Derek & The Dominos,5.9496675,13.451318,3
Andy Macpherson Eric Clapton Jon Astley,3.8694131,5.6413836,4
Andy Macpherson Jon Astley The Who,3.9094903,5.6323514,4
